Batch,IoU,Dice Coefficient,Pixel Accuracy
Batch_1,0.08706580102443695,0.15828131139278412,0.9801445007324219
Batch_2,0.16184428334236145,0.27267736196517944,0.9799118041992188
Batch_3,0.1747877597808838,0.29391708970069885,0.9786434173583984
Batch_4,0.2014264613389969,0.3276934027671814,0.9811382293701172
Batch_5,0.13721349835395813,0.23644059896469116,0.9793376922607422
Batch_6,0.1812915951013565,0.3019593358039856,0.9807109832763672
Batch_7,0.14962327480316162,0.25922563672065735,0.9805946350097656
Batch_8,0.15616905689239502,0.2656692564487457,0.9798164367675781
Batch_9,0.16301555931568146,0.27316248416900635,0.9807758331298828
Batch_10,0.15635433793067932,0.2604696750640869,0.9820785522460938
Batch_11,0.12916132807731628,0.2256411612033844,0.9822845458984375
Batch_12,0.14471206068992615,0.24922582507133484,0.9790325164794922
Batch_13,0.191538006067276,0.31751561164855957,0.9803981781005859
Batch_14,0.13750571012496948,0.24031895399093628,0.9767665863037109
Batch_15,0.1166374608874321,0.20503151416778564,0.9817638397216797
Batch_16,0.16619712114334106,0.2826464772224426,0.9807682037353516
Batch_17,0.166605144739151,0.28231874108314514,0.9793128967285156
Batch_18,0.1481752097606659,0.25640541315078735,0.9793071746826172
Batch_19,0.13649442791938782,0.23019760847091675,0.9792709350585938
Batch_20,0.11977603286504745,0.20650693774223328,0.9794330596923828
Batch_21,0.1601119488477707,0.267074853181839,0.9813613891601562
Batch_22,0.1586730182170868,0.26673683524131775,0.9788322448730469
Batch_23,0.1656394898891449,0.28069382905960083,0.9810371398925781
Batch_24,0.09474601596593857,0.16245043277740479,0.9806900024414062
Batch_25,0.15823164582252502,0.26917243003845215,0.9809017181396484
Batch_26,0.17661240696907043,0.29562270641326904,0.9800586700439453
Batch_27,0.12342062592506409,0.2191319763660431,0.9783306121826172
Batch_28,0.17255544662475586,0.2920427620410919,0.9795551300048828
Batch_29,0.16770444810390472,0.28225839138031006,0.9815998077392578
Batch_30,0.16931402683258057,0.2844095230102539,0.9824161529541016
Batch_31,0.11802901327610016,0.21038895845413208,0.9792919158935547
Batch_32,0.1810089647769928,0.3048158288002014,0.9810943603515625
Batch_33,0.1453779637813568,0.2452639639377594,0.9799919128417969
Batch_34,0.19688311219215393,0.3266805410385132,0.9788112640380859
Batch_35,0.11051863431930542,0.19268199801445007,0.9803047180175781
Batch_36,0.17263959348201752,0.29244112968444824,0.9821510314941406
Batch_37,0.16867637634277344,0.28009918332099915,0.9800930023193359
Batch_38,0.18926261365413666,0.3167632818222046,0.9814968109130859
Batch_39,0.12397770583629608,0.21345502138137817,0.9786663055419922
Batch_40,0.17897537350654602,0.3028891086578369,0.9798641204833984
Batch_41,0.13959313929080963,0.24086764454841614,0.9792156219482422
Batch_42,0.14729848504066467,0.2514934539794922,0.9799079895019531
Batch_43,0.16588211059570312,0.27946627140045166,0.9788227081298828
Batch_44,0.17770254611968994,0.2979831099510193,0.9819221496582031
Batch_45,0.13522425293922424,0.2323826551437378,0.9822654724121094
Batch_46,0.17586879432201385,0.29523301124572754,0.9794998168945312
Batch_47,0.18391694128513336,0.2984083294868469,0.9832801818847656
Batch_48,0.156208336353302,0.26199933886528015,0.9795246124267578
Batch_49,0.22118914127349854,0.3605273962020874,0.9858436584472656
Batch_50,0.18072611093521118,0.3010135889053345,0.9802780151367188
Batch_51,0.14586959779262543,0.2528698146343231,0.9806442260742188
Batch_52,0.24348551034927368,0.3815838694572449,0.9831562042236328
Batch_53,0.15954619646072388,0.2698248624801636,0.9799041748046875
Batch_54,0.19473452866077423,0.3249122202396393,0.9817104339599609
Batch_55,0.1265859603881836,0.22101733088493347,0.9799423217773438
Batch_56,0.1430402249097824,0.2501164972782135,0.9793300628662109
Batch_57,0.1707555651664734,0.2865719795227051,0.9810371398925781
Batch_58,0.17668502032756805,0.2889336943626404,0.9818763732910156
Batch_59,0.14619223773479462,0.25136634707450867,0.9815444946289062
Batch_60,0.15723004937171936,0.26084548234939575,0.9791812896728516
Batch_61,0.10962017625570297,0.19409871101379395,0.9793834686279297
Batch_62,0.12032420933246613,0.20931307971477509,0.9811897277832031
Batch_63,0.19720140099525452,0.3281315565109253,0.9798126220703125
Batch_64,0.1959764063358307,0.32746732234954834,0.9797744750976562
Batch_65,0.14176365733146667,0.2466479241847992,0.9786586761474609
Batch_66,0.17909367382526398,0.30316171050071716,0.9819793701171875
Batch_67,0.22025258839130402,0.35803183913230896,0.9844951629638672
Batch_68,0.21494756639003754,0.35026949644088745,0.9804592132568359
Batch_69,0.17486494779586792,0.2929803729057312,0.9786548614501953
Batch_70,0.13243260979652405,0.23032402992248535,0.9792842864990234
Batch_71,0.13143989443778992,0.22655579447746277,0.9796009063720703
Batch_72,0.2119034379720688,0.3477232754230499,0.9822444915771484
Batch_73,0.20361456274986267,0.3362475335597992,0.9821090698242188
Batch_74,0.1182607114315033,0.20794552564620972,0.9777679443359375
Batch_75,0.1856071650981903,0.31235894560813904,0.9814720153808594
Batch_76,0.11844651401042938,0.20997029542922974,0.9806404113769531
Batch_77,0.1324818879365921,0.22938399016857147,0.9791316986083984
Batch_78,0.16177570819854736,0.26607590913772583,0.9794731140136719
Batch_79,0.18140801787376404,0.30409204959869385,0.9804153442382812
Batch_80,0.13942378759384155,0.2435636669397354,0.9786758422851562
Batch_81,0.16211289167404175,0.2785874605178833,0.9799289703369141
Batch_82,0.1400655210018158,0.24001097679138184,0.9787845611572266
Batch_83,0.14206886291503906,0.2457054704427719,0.9788722991943359
Batch_84,0.19842995703220367,0.32654663920402527,0.9788322448730469
Batch_85,0.2336730808019638,0.3763396739959717,0.9810066223144531
Batch_86,0.17894423007965088,0.29930222034454346,0.9808292388916016
Batch_87,0.09558597207069397,0.17391414940357208,0.9789085388183594
Batch_88,0.14681459963321686,0.2549199163913727,0.9791927337646484
Batch_89,0.20105880498886108,0.33409836888313293,0.9805870056152344
Batch_90,0.19468821585178375,0.32179075479507446,0.980438232421875
Batch_91,0.18847009539604187,0.31300508975982666,0.97882080078125
Batch_92,0.17046189308166504,0.28987208008766174,0.9805049896240234
Batch_93,0.19061973690986633,0.31659039855003357,0.9805660247802734
Batch_94,0.12487932294607162,0.2181883007287979,0.9795570373535156
Batch_95,0.18739037215709686,0.3108828067779541,0.9826316833496094
Batch_96,0.18493656814098358,0.30840298533439636,0.9822921752929688
Batch_97,0.18955044448375702,0.314680278301239,0.9813632965087891
Batch_98,0.20291706919670105,0.3352855443954468,0.9808139801025391
Batch_99,0.1693262755870819,0.2863691449165344,0.9806442260742188
Batch_100,0.19074052572250366,0.3188685178756714,0.9804344177246094
Batch_101,0.20784860849380493,0.3395595848560333,0.9828968048095703
Batch_102,0.12565568089485168,0.2138531506061554,0.9802227020263672
Batch_103,0.21156202256679535,0.3442809581756592,0.9832439422607422
Batch_104,0.19325678050518036,0.3225676715373993,0.9816932678222656
Batch_105,0.16097956895828247,0.2729167342185974,0.9803028106689453
Batch_106,0.23293428122997284,0.37082499265670776,0.9822597503662109
Batch_107,0.1741362363100052,0.2961106300354004,0.9796867370605469
Batch_108,0.1513240933418274,0.2592319846153259,0.9813442230224609
Batch_109,0.16715648770332336,0.28197526931762695,0.9789505004882812
Batch_110,0.21533434092998505,0.35387563705444336,0.9810295104980469
Batch_111,0.18073591589927673,0.3030816316604614,0.9801750183105469
Batch_112,0.17610514163970947,0.29131120443344116,0.9804954528808594
Batch_113,0.1910855621099472,0.31406694650650024,0.9806003570556641
Batch_114,0.14405089616775513,0.25144466757774353,0.9787178039550781
Batch_115,0.20361292362213135,0.3326759934425354,0.9813404083251953
Batch_116,0.178269624710083,0.29003751277923584,0.9824085235595703
Batch_117,0.1766255646944046,0.29570743441581726,0.9799118041992188
Batch_118,0.20159587264060974,0.33167994022369385,0.9814262390136719
Batch_119,0.2401721477508545,0.3814011216163635,0.9822559356689453
Batch_120,0.1933274269104004,0.3174205422401428,0.9808864593505859
Batch_121,0.20853954553604126,0.343946635723114,0.9832420349121094
Batch_122,0.27222520112991333,0.42676615715026855,0.9837284088134766
Batch_123,0.12595893442630768,0.21690917015075684,0.9790573120117188
Batch_124,0.18844547867774963,0.31562575697898865,0.9811744689941406
Batch_125,0.21722650527954102,0.35575658082962036,0.9803409576416016
Batch_126,0.1729728877544403,0.285727858543396,0.9827251434326172
Batch_127,0.20076683163642883,0.3333671987056732,0.9799480438232422
Batch_128,0.24963179230690002,0.3963150680065155,0.9829082489013672
Batch_129,0.22495178878307343,0.365582138299942,0.9832916259765625
Batch_130,0.3330479562282562,0.49741044640541077,0.9846992492675781
Batch_131,0.16054826974868774,0.2747386693954468,0.9793891906738281
Batch_132,0.09258966147899628,0.16755670309066772,0.9799633026123047
Batch_133,0.19363966584205627,0.3223549723625183,0.9801769256591797
Batch_134,0.1498987376689911,0.2582765221595764,0.9792366027832031
Batch_135,0.17553001642227173,0.2938770651817322,0.9808692932128906
Batch_136,0.15787199139595032,0.2715117335319519,0.9799156188964844
Batch_137,0.1777004599571228,0.2980450391769409,0.9816322326660156
