epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.596,1.36301,0.94229,0.89124,0.42098,0.30482,0.30307,0.1782,1.34794,0.9432,0.89107,0.000256016,0.000256016,0.000256016
2,250.531,1.37327,0.9589,0.89475,0.43083,0.29902,0.30056,0.17253,1.37745,0.95867,0.89589,0.000502205,0.000502205,0.000502205
3,431.17,1.38226,0.97493,0.89677,0.39773,0.30705,0.294,0.17111,1.36743,0.96412,0.89829,0.000738243,0.000738243,0.000738243
4,605.598,1.39297,0.98747,0.89898,0.39903,0.29831,0.28936,0.16774,1.37928,0.9821,0.89943,0.000723321,0.000723321,0.000723321
5,746.176,1.38948,0.9813,0.89768,0.41865,0.29531,0.2994,0.17343,1.36035,0.94902,0.89431,0.000708095,0.000708095,0.000708095
6,843.662,1.40055,0.97855,0.8978,0.41486,0.30415,0.30054,0.17301,1.36799,0.95778,0.89931,0.000692869,0.000692869,0.000692869
7,939.991,1.3842,0.97182,0.89554,0.42652,0.30661,0.30797,0.17878,1.36635,0.95163,0.89409,0.000677643,0.000677643,0.000677643
8,1035.88,1.38115,0.96443,0.89619,0.41657,0.3127,0.30717,0.17919,1.34322,0.94139,0.89192,0.000662417,0.000662417,0.000662417
9,1135.26,1.36914,0.95369,0.89475,0.44017,0.30045,0.31056,0.18087,1.34348,0.93029,0.88982,0.00064719,0.00064719,0.00064719
10,1232.91,1.35976,0.94281,0.89144,0.4172,0.31719,0.31249,0.18192,1.3404,0.92695,0.88923,0.000631964,0.000631964,0.000631964
11,1331.15,1.35974,0.93523,0.88954,0.41741,0.31548,0.30977,0.18234,1.33494,0.9309,0.89071,0.000616738,0.000616738,0.000616738
12,1429.67,1.3581,0.93517,0.89043,0.43132,0.31249,0.31331,0.18389,1.33355,0.92378,0.88834,0.000601512,0.000601512,0.000601512
13,1526.08,1.35639,0.93241,0.88949,0.42898,0.31044,0.31142,0.18456,1.32408,0.92007,0.88838,0.000586286,0.000586286,0.000586286
14,1622.85,1.33996,0.91783,0.88749,0.44217,0.31969,0.31978,0.18847,1.32268,0.90591,0.88538,0.000571059,0.000571059,0.000571059
15,1722.04,1.35011,0.91884,0.88667,0.42772,0.31947,0.31636,0.18425,1.32879,0.91586,0.888,0.000555833,0.000555833,0.000555833
16,1819.81,1.33658,0.91018,0.8855,0.45768,0.32032,0.32388,0.19006,1.32288,0.91108,0.88749,0.000540607,0.000540607,0.000540607
17,1917.86,1.33492,0.9096,0.88545,0.4466,0.31946,0.32137,0.18965,1.32173,0.90725,0.88771,0.000525381,0.000525381,0.000525381
18,2038.9,1.32747,0.89857,0.88399,0.43691,0.31887,0.32118,0.19003,1.31745,0.90913,0.88635,0.000510155,0.000510155,0.000510155
19,2133.07,1.32604,0.89794,0.88495,0.44801,0.32451,0.32374,0.19063,1.32083,0.90998,0.88609,0.000494928,0.000494928,0.000494928
20,2229.12,1.3206,0.89227,0.88286,0.4543,0.32597,0.32768,0.19226,1.31704,0.90195,0.88956,0.000479702,0.000479702,0.000479702
21,2328.54,1.32582,0.88863,0.88335,0.45086,0.32977,0.33124,0.19606,1.30269,0.89226,0.88492,0.000464476,0.000464476,0.000464476
22,2427.12,1.31404,0.87603,0.88113,0.44005,0.33791,0.33082,0.19578,1.3063,0.8916,0.88488,0.00044925,0.00044925,0.00044925
23,2524.96,1.30455,0.86981,0.88129,0.44902,0.33401,0.33156,0.19594,1.30736,0.89094,0.88509,0.000434024,0.000434024,0.000434024
24,2624.83,1.30688,0.8695,0.87983,0.44992,0.33094,0.33252,0.19802,1.29607,0.88524,0.88421,0.000418797,0.000418797,0.000418797
25,2721.24,1.29672,0.85902,0.88066,0.4519,0.33035,0.33237,0.19767,1.30175,0.89207,0.88447,0.000403571,0.000403571,0.000403571
26,2818,1.2953,0.85978,0.87852,0.4666,0.33031,0.33638,0.20018,1.29539,0.88397,0.88151,0.000388345,0.000388345,0.000388345
27,2917.11,1.30253,0.85868,0.87707,0.45413,0.3337,0.33645,0.20099,1.28505,0.87828,0.87957,0.000373119,0.000373119,0.000373119
28,3015.94,1.29311,0.8501,0.87689,0.44778,0.32905,0.33297,0.19754,1.28908,0.87909,0.88309,0.000357893,0.000357893,0.000357893
29,3115.13,1.28092,0.84054,0.87482,0.45674,0.33035,0.33622,0.19936,1.29382,0.882,0.88188,0.000342666,0.000342666,0.000342666
30,3214.47,1.28777,0.83831,0.87508,0.44732,0.33646,0.33286,0.19721,1.28655,0.87789,0.88296,0.00032744,0.00032744,0.00032744
31,3312.75,1.28242,0.84142,0.87527,0.46021,0.33227,0.33345,0.19707,1.28977,0.88047,0.88184,0.000312214,0.000312214,0.000312214
